Datetime,Open,High,Low,Close,Adj Close,Volume
2024-05-13 09:30:00,170.00999450683594,172.67999267578125,169.02999877929688,172.57000732421875,172.57000732421875,8208160
2024-05-13 09:45:00,172.58999633789062,175.0749969482422,172.5,174.9503936767578,174.9503936767578,7346326
2024-05-13 10:00:00,174.97000122070312,175.39999389648438,173.8300018310547,173.9416961669922,173.9416961669922,5591404
2024-05-13 10:15:00,173.94009399414062,174.75,173.4199981689453,174.4801025390625,174.4801025390625,3785574
2024-05-13 10:30:00,174.48890686035156,174.72999572753906,172.9499969482422,173.02999877929688,173.02999877929688,3398206
2024-05-13 10:45:00,173.02000427246094,173.25,172.5500030517578,172.93190002441406,172.93190002441406,2897488
2024-05-13 11:00:00,172.94000244140625,173.57000732421875,172.50999450683594,173.27499389648438,173.27499389648438,2410702
2024-05-13 11:15:00,173.27020263671875,173.33999633789062,172.36000061035156,172.4499969482422,172.4499969482422,2300911
2024-05-13 11:30:00,172.42999267578125,172.7239990234375,172.10000610351562,172.3300018310547,172.3300018310547,1559479
2024-05-13 11:45:00,172.42999267578125,172.85000610351562,172.0399932861328,172.77999877929688,172.77999877929688,2343106
2024-05-13 12:00:00,172.77999877929688,173.07000732421875,171.50999450683594,171.75759887695312,171.75759887695312,2660618
2024-05-13 12:15:00,171.73500061035156,171.9600067138672,171.4600067138672,171.8699951171875,171.8699951171875,1609015
2024-05-13 12:30:00,171.88999938964844,172.0583038330078,171.4199981689453,171.7366943359375,171.7366943359375,1501104
2024-05-13 12:45:00,171.74989318847656,172.0399932861328,171.64999389648438,171.6540069580078,171.6540069580078,1299427
2024-05-13 13:00:00,171.6201934814453,171.6898956298828,170.83059692382812,171.08999633789062,171.08999633789062,2119818
2024-05-13 13:15:00,171.0802001953125,171.66000366210938,170.97000122070312,171.58999633789062,171.58999633789062,1242670
2024-05-13 13:30:00,171.5800018310547,171.6486053466797,170.94000244140625,170.99000549316406,170.99000549316406,1340112
2024-05-13 13:45:00,170.99000549316406,171.5800018310547,170.9600067138672,171.4219970703125,171.4219970703125,1118160
2024-05-13 14:00:00,171.42999267578125,171.81680297851562,171.13999938964844,171.69850158691406,171.69850158691406,1163292
2024-05-13 14:15:00,171.68820190429688,172.1699981689453,171.66000366210938,172.11000061035156,172.11000061035156,1373315
2024-05-13 14:30:00,172.10069274902344,172.16580200195312,171.72999572753906,171.81939697265625,171.81939697265625,1327544
2024-05-13 14:45:00,171.8217010498047,172.35000610351562,171.8217010498047,172.29010009765625,172.29010009765625,1277494
2024-05-13 15:00:00,172.2902069091797,172.39999389648438,172.060302734375,172.14999389648438,172.14999389648438,1140961
2024-05-13 15:15:00,172.16000366210938,172.39999389648438,171.75999450683594,171.8699951171875,171.8699951171875,1218266
